scaf: scarf
ghosw: ghost
ohost: ghost
ghosa: ghost
ghost: ghost
ghos: ghost
thost: ghost
wallots: wallets
wall: wallets
walnets: wallets
wallets: wallets
wzllets: wallets
wkllets: wallets
manqavar: manyavar
manygvar: manyavar
many: manyavar
manyavac: manyavar
manyavar: manyavar
mapyavar: manyavar
peakew: peaked
peakee: peaked
paaked: peaked
peawed: peaked
peaked: peaked
peak: peaked
rrst: rust
ruet: rust
rbst: rust
rusk: rust
dust: rust
rust: rust
sapphiee: sapphire
sapphire: sapphire
scpphire: sapphire
skpphire: sapphire
sapp: sapphire
vapphire: sapphire
zodisc: zodiac
zodiac: zodiac
zfdiac: zodiac
zoviac: zodiac
vodiac: zodiac
zodi: zodiac
grom: prom
pwom: prom
prom: prom
nrom: prom
vrom: prom
prop: prom
qggshell: eggshell
eggs: eggshell
eggshell: eggshell
eggsbell: eggshell
eggshely: eggshell
gggshell: eggshell
peac: peach
pewcock: peacock
peacocy: peacock
peacock: peacock
pegcock: peacock
peacoqk: peacock
zace: face
tace: face
facw: face
face: face
pace: face
faae: face
sxndals: sandals
saldals: sandals
sdndals: sandals
sand: sand
sandags: sandals
sandals: sandals
spnrtswear: sportswear
sportwwear: sportswear
spormswear: sportswear
sportswqar: sportswear
spor: sporting
sportswear: sportswear
coff: coffee
coffee: coffee
coffke: coffee
hoffee: coffee
cofcee: coffee
eoffee: coffee
raynond: raymond
rgymond: raymond
raym: raymond
raymond: raymond
iaymond: raymond
raymono: raymond
gain: gainsboro
gainsooro: gainsboro
gaintboro: gainsboro
gainsboro: gainsboro
gainuboro: gainsboro
sainsboro: gainsboro
broguen: brogues
brognes: brogues
brogues: brogues
broguea: brogues
trogues: brogues
brog: brogues
aufti: mufti
mufti: mufti
muftw: mufti
mpfti: mufti
mufni: mufti
muft: mufti
Ghaara: Ghagra
Ghaira: Ghagra
Ghag: Ghagra
xhagra: Ghagra
Ghagra: Ghagra
yhagra: Ghagra
maro: maroon
mamoon: maroon
maroon: maroon
paroon: maroon
macoon: maroon
raroon: maroon
indi: indigo
wndian: indian
iodian: indian
endian: indian
iwdian: indian
indian: indian
peter: peter
pdter: peter
petar: peter
petew: peter
neter: peter
pete: peter
hurley: hurley
hurlev: hurley
hurcey: hurley
hurl: hurley
hyrley: hurley
hvrley: hurley
beonie: beanie
bean: beanies
beanie: beanie
bfanie: beanie
btanie: beanie
beaniw: beanie
arjy: army
abmy: army
aamy: army
army: army
avmy: army
vrmy: army
driuing: driving
draving: driving
driv: driving
ariving: driving
driving: driving
drivihg: driving
swimwear: swimwear
ssimwear: swimwear
syimwear: swimwear
swim: swimwear
sgimwear: swimwear
swimwdar: swimwear
criwneck: crewneck
cruwneck: crewneck
crewneck: crewneck
crew: crewneck
crawneck: crewneck
crswneck: crewneck
amelican: american
amerbcan: american
amjrican: american
amezican: american
amer: american
american: american
laurez: lauren
lxuren: lauren
laur: lauren
luuren: lauren
ladren: lauren
lauren: lauren
lingerie: lingerie
ling: lingerie
lingyrie: lingerie
likgerie: lingerie
lingerix: lingerie
lingemie: lingerie
Skerwani: Sherwani
fherwani: Sherwani
Sher: Sherwani
Sherwani: Sherwani
Sherxani: Sherwani
Shkrwani: Sherwani
huedreds: hundreds
hund: hundreds
hundrees: hundreds
handreds: hundreds
hundreds: hundreds
hindreds: hundreds
aiber: amber
abber: amber
amber: amber
ambe: amber
agber: amber
ambeb: amber
booicut: bootcut
bootcct: bootcut
bootcut: bootcut
bowtcut: bootcut
boot: boots
bxotcut: bootcut
waisecoats: waistcoats
wasstcoats: waistcoats
